                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211206" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               1          1.7263349150062194E+001          1.5000000000000000E+000          2.2057617821539509E+001          3.7198504673797345E+002          3.7198504673797345E+002          8.3580839791757420E+000          8.3580839791757420E+000          3.0735986257618042E-003          3.0735986257618042E-003          3.1999996966500856E+001          3.1999996966500856E+001         -9.8999999999999986E+001         -6.7551811767570138E+000         -6.7551811767570138E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7551811767570138E+000         -6.7551811767570138E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321346545229080E+054         -6.5853165856499845E+038          0.0000000000000000E+000         -2.6517384065483389E+037         -6.3201427449951507E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               2          3.7979368130136820E+001          1.5000000000000000E+000          2.2057616985265284E+001          3.7198503263484099E+002          3.7198503263484099E+002          8.3580836622942787E+000          8.3580836622942787E+000          3.0596592461572254E-003          3.0596592461572254E-003          3.1999993326836815E+001          3.1999993326836815E+001         -9.8999999999999986E+001         -6.7552450018836456E+000         -6.7552450018836456E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7552450018836456E+000         -6.7552450018836456E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321339659942315E+054          3.4951575709328359E+039          0.0000000000000000E+000         -2.6517374179340553E+037         -6.3192135881018313E+038          4.1535963039223595E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               3          6.2838590906226372E+001          1.5000000000000000E+000          2.2057615981671741E+001          3.7198501570999457E+002          3.7198501570999457E+002          8.3580832820120925E+000          8.3580832820120925E+000          3.0351644072521165E-003          3.0351644072521165E-003          3.1999988958960213E+001          3.1999988958960213E+001         -9.8999999999999986E+001         -6.7552171861818104E+000         -6.7552171861818104E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7552171861818104E+000         -6.7552171861818104E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321331397069578E+054          5.9751482776617673E+039          0.0000000000000000E+000         -2.6517362315424311E+037         -6.3196178549905399E+038          6.6336274254762459E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               4          9.2669658237533838E+001          1.5000000000000000E+000          2.2057614777222874E+001          3.7198499539787525E+002          3.7198499539787525E+002          8.3580828256217039E+000          8.3580828256217039E+000          2.9955699738169507E-003          2.9955699738169507E-003          3.1999983716913814E+001          3.1999983716913814E+001         -9.8999999999999986E+001         -6.7551679309342250E+000         -6.7551679309342250E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7551679309342250E+000         -6.7551679309342250E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321321480498766E+054          8.8423569375290555E+039          0.0000000000000000E+000         -2.6517348077175026E+037         -6.3203340561617074E+038          9.5009076912224015E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               5          1.2846693903510280E+002          1.5000000000000000E+000          2.2057613331613080E+001          3.7198497101875910E+002          3.7198497101875910E+002          8.3580822778504924E+000          8.3580822778504924E+000          2.9338728730024148E-003          2.9338728730024148E-003          3.1999977425278505E+001          3.1999977425278505E+001         -9.8999999999999986E+001         -6.7550864974613569E+000         -6.7550864974613569E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7550864974613569E+000         -6.7550864974613569E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321309578383720E+054          1.2135440448938218E+040          0.0000000000000000E+000         -2.6517330988185773E+037         -6.3215185869506585E+038          1.2794109638621469E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               6          1.7142367599218554E+002          1.5000000000000000E+000          2.2057611596367700E+001          3.7198494175515776E+002          3.7198494175515776E+002          8.3580816203304131E+000          8.3580816203304131E+000          2.8397445121397351E-003          2.8397445121397351E-003          3.1999969873082140E+001          3.1999969873082140E+001         -9.8999999999999986E+001         -6.7549580109158649E+000         -6.7549580109158649E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7549580109158649E+000         -6.7549580109158649E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321295291621542E+054          1.5902078394294194E+040          0.0000000000000000E+000         -2.6517310475529027E+037         -6.3233882636763615E+038          1.6560934531137358E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               7          2.2297176034068482E+002          1.5000000000000000E+000          2.2057609513131666E+001          3.7198490662295723E+002          3.7198490662295723E+002          8.3580808309495360E+000          8.3580808309495360E+000          2.6992501805863092E-003          2.6992501805863092E-003          3.1999960806350416E+001          3.1999960806350416E+001         -9.8999999999999986E+001         -6.7547617649749503E+000         -6.7547617649749503E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7547617649749503E+000         -6.7547617649749503E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321278139761127E+054          2.0171606621426924E+040          0.0000000000000000E+000         -2.6517285849555986E+037         -6.3262452822877968E+038          2.0830748435505260E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               8          2.8482946155888396E+002          1.5000000000000000E+000          2.2057607011565313E+001          3.7198486443593214E+002          3.7198486443593214E+002          8.3580798830547156E+000          8.3580798830547156E+000          2.4924319064108988E-003          2.4924319064108988E-003          3.1999949918949273E+001          3.1999949918949273E+001         -9.8999999999999986E+001         -6.7544695518837887E+000         -6.7544695518837887E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7544695518837887E+000         -6.7544695518837887E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321257543679589E+054          2.4975571972733231E+040          0.0000000000000000E+000         -2.6517256279073150E+037         -6.3305021045684998E+038          2.5635139439469152E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               9          3.5905870302072293E+002          1.5000000000000000E+000          2.2057604006733737E+001          3.7198481376171952E+002          3.7198481376171952E+002          8.3580787444623788E+000          8.3580787444623788E+000          2.1920414949067367E-003          2.1920414949067367E-003          3.1999936841222897E+001          3.1999936841222897E+001         -9.8999999999999986E+001         -6.7540427763207402E+000         -6.7540427763207402E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7540427763207402E+000         -6.7540427763207402E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321232804088697E+054          3.0326932610191863E+040          0.0000000000000000E+000         -2.6517220760568760E+037         -6.3367246273017681E+038          3.0987122293682608E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
