                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211206" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               1          1.7263349150062194E+001          1.5000000000000000E+000          2.2057617831048791E+001          3.7198504689834027E+002          3.7198504689834027E+002          8.3580839827790037E+000          8.3580839827790037E+000          1.5323649226681642E-002          1.5323649226681642E-002          3.1999997007887508E+001          3.1999997007887508E+001         -9.8999999999999986E+001         -6.7611471369713705E+000         -6.7611471369713705E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7611471369713705E+000         -6.7611471369713705E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321346623521743E+054         -6.4990895694017251E+038          0.0000000000000000E+000         -2.6517384168370816E+037         -6.2339157277180169E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               2          3.7979368130136820E+001          1.5000000000000000E+000          2.2057617006154882E+001          3.7198503298712825E+002          3.7198503298712825E+002          8.3580836702097763E+000          8.3580836702097763E+000          1.5310676748741458E-002          1.5310676748741458E-002          3.1999993417753480E+001          3.1999993417753480E+001         -9.8999999999999986E+001         -6.7611956376490721E+000         -6.7611956376490721E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7611956376490721E+000         -6.7611956376490721E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321339831932674E+054          3.6079640922186520E+039          0.0000000000000000E+000         -2.6517374416791722E+037         -6.2332191934214904E+038          4.2578033859775928E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               3          6.2838590906226372E+001          1.5000000000000000E+000          2.2057616016249561E+001          3.7198501629312346E+002          3.7198501629312346E+002          8.3580832951143371E+000          8.3580832951143371E+000          1.5288119292936563E-002          1.5288119292936563E-002          3.1999989109451157E+001          3.1999989109451157E+001         -9.8999999999999986E+001         -6.7611813752935870E+000         -6.7611813752935870E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7611813752935870E+000         -6.7611813752935870E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321331681758789E+054          6.1778199574268244E+039          0.0000000000000000E+000         -2.6517362714658746E+037         -6.2334234312651826E+038          6.8276796632680012E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               4          9.2669658237533838E+001          1.5000000000000000E+000          2.2057614828251882E+001          3.7198499625844084E+002          3.7198499625844084E+002          8.3580828449576412E+000          8.3580828449576412E+000          1.5250083349317508E-002          1.5250083349317508E-002          3.1999983939003744E+001          3.1999983939003744E+001         -9.8999999999999986E+001         -6.7611406667291885E+000         -6.7611406667291885E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7611406667291885E+000         -6.7611406667291885E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321321900634461E+054          9.1460430102592239E+039          0.0000000000000000E+000         -2.6517348670860248E+037         -6.2340071886396585E+038          9.7959610777940494E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               5          1.2846693903510280E+002          1.5000000000000000E+000          2.2057613402408485E+001          3.7198497221267007E+002          3.7198497221267007E+002          8.3580823046763246E+000          8.3580823046763246E+000          1.5188641228877767E-002          1.5188641228877767E-002          3.1999977733397159E+001          3.1999977733397159E+001         -9.8999999999999986E+001         -6.7610657990026386E+000         -6.7610657990026386E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7610657990026386E+000         -6.7610657990026386E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321310161262873E+054          1.2556401000516853E+040          0.0000000000000000E+000         -2.6517331815515074E+037         -6.2350812858523794E+038          1.3206426460917605E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               6          1.7142367599218554E+002          1.5000000000000000E+000          2.2057611690912204E+001          3.7198494334957934E+002          3.7198494334957934E+002          8.3580816561552655E+000          8.3580816561552655E+000          1.5092776505529476E-002          1.5092776505529476E-002          3.1999970284562249E+001          3.1999970284562249E+001         -9.8999999999999986E+001         -6.7609429351383410E+000         -6.7609429351383410E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7609429351383410E+000         -6.7609429351383410E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321296070033211E+054          1.6451513540200920E+040          0.0000000000000000E+000         -2.6517311583578237E+037         -6.2368446616352336E+038          1.7101715317948023E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               7          2.2297176034068482E+002          1.5000000000000000E+000          2.2057609636213019E+001          3.7198490869863116E+002          3.7198490869863116E+002          8.3580808775875859E+000          8.3580808775875859E+000          1.4946974553408309E-002          1.4946974553408309E-002          3.1999961342029184E+001          3.1999961342029184E+001         -9.8999999999999986E+001         -6.7607519755124930E+000         -6.7607519755124930E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7607519755124930E+000         -6.7607519755124930E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321279153123724E+054          2.0871964419816820E+040          0.0000000000000000E+000         -2.6517287294912722E+037         -6.2395866418554945E+038          2.1522440371297282E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               8          2.8482946155888396E+002          1.5000000000000000E+000          2.2057607168944152E+001          3.7198486709000724E+002          3.7198486709000724E+002          8.3580799426887875E+000          8.3580799426887875E+000          1.4729788382799740E-002          1.4729788382799740E-002          3.1999950603898753E+001          3.1999950603898753E+001         -9.8999999999999986E+001         -6.7604651017979585E+000         -6.7604651017979585E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7604651017979585E+000         -6.7604651017979585E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321258839422569E+054          2.5845995987414875E+040          0.0000000000000000E+000         -2.6517258129821338E+037         -6.2437084062473539E+038          2.6496884086169430E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               9          3.5905870302072293E+002          1.5000000000000000E+000          2.2057604205355393E+001          3.7198481711132354E+002          3.7198481711132354E+002          8.3580788197241986E+000          8.3580788197241986E+000          1.4411655134544172E-002          1.4411655134544172E-002          3.1999937705670668E+001          3.1999937705670668E+001         -9.8999999999999986E+001         -6.7600449699895018E+000         -6.7600449699895018E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7600449699895018E+000         -6.7600449699895018E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321234439394427E+054          3.1388181458996294E+040          0.0000000000000000E+000         -2.6517223098778935E+037         -6.2497500269366840E+038          3.2039673684788741E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.4813379277492970E+002          1.5000000000000000E+000          2.2057600644101647E+001          3.7198475705347187E+002          3.7198475705347187E+002          8.3580774702920824E+000          8.3580774702920824E+000          1.3951999215218051E-002          1.3951999215218051E-002          3.1999922206270426E+001          3.1999922206270426E+001         -9.8999999999999986E+001         -6.7594413754399794E+000         -6.7594413754399794E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7594413754399794E+000         -6.7594413754399794E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321205118646750E+054          3.7516186950126861E+040          0.0000000000000000E+000         -2.6517181004610339E+037         -6.2584404604864599E+038          3.8168548177180116E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
