                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211218" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               1          1.7263349150062194E+001          1.5000000000000000E+000          2.2057617728325447E+001          3.7198504516598882E+002          3.7198504516598882E+002          8.3580839438550196E+000          8.3580839438550196E+000         -7.1658598360151843E-002         -7.1658598360151843E-002          3.1999996560810978E+001          3.1999996560810978E+001         -9.8999999999999986E+001         -6.7006690085687719E+000         -6.7006690085687719E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7006690085687719E+000         -6.7006690085687719E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321345777770569E+054         -7.4305509968819130E+038          0.0000000000000000E+000         -2.6517383056936335E+037         -7.1653771663125497E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               2          3.7979368130136820E+001          1.5000000000000000E+000          2.2057616827484054E+001          3.7198502997397981E+002          3.7198502997397981E+002          8.3580836025077350E+000          8.3580836025077350E+000         -7.2912609837440023E-002         -7.2912609837440023E-002          3.1999992640135545E+001          3.1999992640135545E+001         -9.8999999999999986E+001         -6.7229454087296014E+000         -6.7229454087296014E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7229454087296014E+000         -6.7229454087296014E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321338360884223E+054         -7.0722814584525588E+038          0.0000000000000000E+000         -2.6517372360137381E+037         -6.8071077348511854E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               3          6.2838590906226372E+001          1.5000000000000000E+000          2.2057615787090054E+001          3.7198501242852166E+002          3.7198501242852166E+002          8.3580832082810996E+000          8.3580832082810996E+000         -7.3607877483679293E-002         -7.3607877483679293E-002          3.1999988112094297E+001          3.1999988112094297E+001         -9.8999999999999986E+001         -6.7395771722873361E+000         -6.7395771722873361E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7395771722873361E+000         -6.7395771722873361E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321329795022351E+054         -6.8165239514168399E+038          0.0000000000000000E+000         -2.6517360020430339E+037         -6.5513503512125370E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               4          9.2669658237533838E+001          1.5000000000000000E+000          2.2057614576450721E+001          3.7198499201200468E+002          3.7198499201200468E+002          8.3580827495450158E+000          8.3580827495450158E+000         -7.3881283116277036E-002         -7.3881283116277036E-002          3.1999982843105858E+001          3.1999982843105858E+001         -9.8999999999999986E+001         -6.7529415463335374E+000         -6.7529415463335374E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7529415463335374E+000         -6.7529415463335374E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321319827484442E+054         -6.6179914065739870E+038          0.0000000000000000E+000         -2.6517345670962480E+037         -6.3528179498643621E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               5          1.2846693903510280E+002          1.5000000000000000E+000          2.2057613161943610E+001          3.7198496815741180E+002          3.7198496815741180E+002          8.3580822135592499E+000          8.3580822135592499E+000         -7.3813825524072799E-002         -7.3813825524072799E-002          3.1999976686837250E+001          3.1999976686837250E+001         -9.8999999999999986E+001         -6.7645324776251483E+000         -6.7645324776251483E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7645324776251483E+000         -6.7645324776251483E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321308181447625E+054         -6.4506821183112824E+038          0.0000000000000000E+000         -2.6517328911054344E+037         -6.1855088292007388E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               6          1.7142367599218554E+002          1.5000000000000000E+000          2.2057611504290886E+001          3.7198494020235194E+002          3.7198494020235194E+002          8.3580815854406190E+000          8.3580815854406190E+000         -7.3469121295304460E-002         -7.3469121295304460E-002          3.1999969472342706E+001          3.1999969472342706E+001         -9.8999999999999986E+001         -6.7748253753916599E+000         -6.7748253753916599E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7748253753916599E+000         -6.7748253753916599E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321294533528275E+054         -6.3058064656181160E+038          0.0000000000000000E+000         -2.6517309275317144E+037         -6.0406333728649443E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               7          2.2297176034068482E+002          1.5000000000000000E+000          2.2057609557051762E+001          3.7198490736363641E+002          3.7198490736363641E+002          8.3580808475917596E+000          8.3580808475917596E+000         -7.2907186388490655E-002         -7.2907186388490655E-002          3.1999960997500921E+001          3.1999960997500921E+001         -9.8999999999999986E+001         -6.7840809310843504E+000         -6.7840809310843504E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7840809310843504E+000         -6.7840809310843504E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321278501367343E+054         -6.1784312528771176E+038          0.0000000000000000E+000         -2.6517286214063313E+037         -5.9132583907364841E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               8          2.8482946155888396E+002          1.5000000000000000E+000          2.2057607264990178E+001          3.7198486870975086E+002          3.7198486870975086E+002          8.3580799790825981E+000          8.3580799790825981E+000         -7.2192138013970411E-002         -7.2192138013970411E-002          3.1999951021912910E+001          3.1999951021912910E+001         -9.8999999999999986E+001         -6.7924552718276150E+000         -6.7924552718276150E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7924552718276150E+000         -6.7924552718276150E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321259630194750E+054         -6.0654990724598750E+038          0.0000000000000000E+000         -2.6517259073837065E+037         -5.8003264817215044E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               9          3.5905870302072293E+002          1.5000000000000000E+000          2.2057604562053001E+001          3.7198482312675907E+002          3.7198482312675907E+002          8.3580789548842400E+000          8.3580789548842400E+000         -7.1400114210009122E-002         -7.1400114210009122E-002          3.1999939258101421E+001          3.1999939258101421E+001         -9.8999999999999986E+001         -6.8000269661979056E+000         -6.8000269661979056E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8000269661979056E+000         -6.8000269661979056E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321237376181529E+054         -5.9652483814564325E+038          0.0000000000000000E+000         -2.6517227073577416E+037         -5.7000761107206583E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
