                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211109" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               1          1.7263349150062194E+001          1.5000000000000000E+000          2.2057617808160902E+001          3.7198504651235334E+002          3.7198504651235334E+002          8.3580839741063127E+000          8.3580839741063127E+000         -4.4463239203649096E-003         -4.4463239203649096E-003          3.1999996908274202E+001          3.1999996908274202E+001         -9.8999999999999986E+001         -6.7469240854145145E+000         -6.7469240854145145E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7469240854145145E+000         -6.7469240854145145E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321346435079528E+054         -6.7066288604594667E+038          0.0000000000000000E+000         -2.6517383920731641E+037         -6.4414550212521500E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               2          3.7979368130136820E+001          1.5000000000000000E+000          2.2057616955838590E+001          3.7198503213858203E+002          3.7198503213858203E+002          8.3580836511439003E+000          8.3580836511439003E+000         -4.4600637205480772E-003         -4.4600637205480772E-003          3.1999993198764983E+001          3.1999993198764983E+001         -9.8999999999999986E+001         -6.7469898451136991E+000         -6.7469898451136991E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7469898451136991E+000         -6.7469898451136991E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321339417664080E+054          3.6208652170098751E+039          0.0000000000000000E+000         -2.6517373844870125E+037         -6.4404793325060418E+038          4.2914305241053494E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               3          6.2838590906226372E+001          1.5000000000000000E+000          2.2057615932987314E+001          3.7198501488896869E+002          3.7198501488896869E+002          8.3580832635645645E+000          8.3580832635645645E+000         -4.4847003125890652E-003         -4.4847003125890652E-003          3.1999988747073651E+001          3.1999988747073651E+001         -9.8999999999999986E+001         -6.7469625029589269E+000         -6.7469625029589269E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7469625029589269E+000         -6.7469625029589269E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321330996236073E+054          6.1825177067537139E+039          0.0000000000000000E+000         -2.6517361753297341E+037         -6.4408843248756599E+038          6.8531235009945773E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               4          9.2669658237533838E+001          1.5000000000000000E+000          2.2057614705426595E+001          3.7198499418708519E+002          3.7198499418708519E+002          8.3580827984166195E+000          8.3580827984166195E+000         -4.5248609075957888E-003         -4.5248609075957888E-003          3.1999983404439288E+001          3.1999983404439288E+001         -9.8999999999999986E+001         -6.7469133392310328E+000         -6.7469133392310328E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7469133392310328E+000         -6.7469133392310328E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321320889379342E+054          9.1407791210363646E+039          0.0000000000000000E+000         -2.6517347241834310E+037         -6.4416129004531469E+038          9.8114577583235139E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               5          1.2846693903510280E+002          1.5000000000000000E+000          2.2057613232075891E+001          3.7198496934013963E+002          3.7198496934013963E+002          8.3580822401338093E+000          8.3580822401338093E+000         -4.5878924921627416E-003         -4.5878924921627416E-003          3.1999976992069236E+001          3.1999976992069236E+001         -9.8999999999999986E+001         -6.7468314612001734E+000         -6.7468314612001734E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7468314612001734E+000         -6.7468314612001734E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321308758866063E+054          1.2543932283141982E+040          0.0000000000000000E+000         -2.6517329824914296E+037         -6.4428267424025979E+038          1.3214732287207156E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               6          1.7142367599218554E+002          1.5000000000000000E+000          2.2057611463526520E+001          3.7198493951489166E+002          3.7198493951489166E+002          8.3580815699941642E+000          8.3580815699941642E+000         -4.6842479906410240E-003         -4.6842479906410240E-003          3.1999969294926355E+001          3.1999969294926355E+001         -9.8999999999999986E+001         -6.7467017362771946E+000         -6.7467017362771946E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7467017362771946E+000         -6.7467017362771946E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321294197903442E+054          1.6428950395118591E+040          0.0000000000000000E+000         -2.6517308918571692E+037         -6.4447506584698293E+038          1.7099942769884145E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               7          2.2297176034068482E+002          1.5000000000000000E+000          2.2057609340297166E+001          3.7198490370823396E+002          3.7198490370823396E+002          8.3580807654589968E+000          8.3580807654589968E+000         -4.8287054949441343E-003         -4.8287054949441343E-003          3.1999960054134181E+001          3.1999960054134181E+001         -9.8999999999999986E+001         -6.7465033275592168E+000         -6.7465033275592168E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7465033275592168E+000         -6.7465033275592168E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321276716766950E+054          2.0836598334309666E+040          0.0000000000000000E+000         -2.6517283819848426E+037         -6.4476946005854170E+038          2.1507885078188056E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               8          2.8482946155888396E+002          1.5000000000000000E+000          2.2057606790683764E+001          3.7198486071093174E+002          3.7198486071093174E+002          8.3580797993581655E+000          8.3580797993581655E+000         -5.0413615516878528E-003         -5.0413615516878528E-003          3.1999948957621154E+001          3.1999948957621154E+001         -9.8999999999999986E+001         -6.7462072490736658E+000         -6.7462072490736658E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7462072490736658E+000         -6.7462072490736658E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321255725101451E+054          2.5787508382285196E+040          0.0000000000000000E+000         -2.6517253681436235E+037         -6.4520905465669446E+038          2.6459234690623328E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               9          3.5905870302072293E+002          1.5000000000000000E+000          2.2057603728098393E+001          3.7198480906274511E+002          3.7198480906274511E+002          8.3580786388817288E+000          8.3580786388817288E+000         -5.3502202505802754E-003         -5.3502202505802754E-003          3.1999935628537560E+001          3.1999935628537560E+001         -9.8999999999999986E+001         -6.7457747308617115E+000         -6.7457747308617115E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7457747308617115E+000         -6.7457747308617115E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321230510009840E+054          3.1301082227838463E+040          0.0000000000000000E+000         -2.6517217480300410E+037         -6.4585179556883705E+038          3.1973451240887600E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
