                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211109" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               1          1.7263349150062194E+001          1.5000000000000000E+000          2.2057617813759805E+001          3.7198504660677457E+002          3.7198504660677457E+002          8.3580839762278512E+000          8.3580839762278512E+000          6.8081956457346597E-003          6.8081956457346597E-003          3.1999996932641800E+001          3.1999996932641800E+001         -9.8999999999999986E+001         -6.7503605598383336E+000         -6.7503605598383336E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7503605598383336E+000         -6.7503605598383336E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321346481176641E+054         -6.6558602035917340E+038          0.0000000000000000E+000         -2.6517383981309601E+037         -6.3906863637786382E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               2          3.7979368130136820E+001          1.5000000000000000E+000          2.2057616968119543E+001          3.7198503234569102E+002          3.7198503234569102E+002          8.3580836557974063E+000          8.3580836557974063E+000          6.7948075041428567E-003          6.7948075041428567E-003          3.1999993252214370E+001          3.1999993252214370E+001         -9.8999999999999986E+001         -6.7504080413384928E+000         -6.7504080413384928E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7504080413384928E+000         -6.7504080413384928E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321339518776311E+054          3.7394555324289003E+039          0.0000000000000000E+000         -2.6517373984476269E+037         -6.3899872986472574E+038          4.4049716362781026E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               3          6.2838590906226372E+001          1.5000000000000000E+000          2.2057615953312609E+001          3.7198501523173945E+002          3.7198501523173945E+002          8.3580832712662367E+000          8.3580832712662367E+000          6.7714279062928359E-003          6.7714279062928359E-003          3.1999988835534655E+001          3.1999988835534655E+001         -9.8999999999999986E+001         -6.7503916394529346E+000         -6.7503916394529346E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7503916394529346E+000         -6.7503916394529346E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321331163580898E+054          6.3848787829308847E+039          0.0000000000000000E+000         -2.6517361987975414E+037         -6.3902281422008816E+038          7.0504189591389482E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               4          9.2669658237533838E+001          1.5000000000000000E+000          2.2057614735421975E+001          3.7198499469293461E+002          3.7198499469293461E+002          8.3580828097824877E+000          8.3580828097824877E+000          6.7319205459921644E-003          6.7319205459921644E-003          3.1999983534986246E+001          3.1999983534986246E+001         -9.8999999999999986E+001         -6.7503479871964096E+000         -6.7503479871964096E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7503479871964096E+000         -6.7503479871964096E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321321136339787E+054          9.4427519995618899E+039          0.0000000000000000E+000         -2.6517347590809789E+037         -6.3908698876568759E+038          1.0108356335918387E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               5          1.2846693903510280E+002          1.5000000000000000E+000          2.2057613273682446E+001          3.7198497004180268E+002          3.7198497004180268E+002          8.3580822558993866E+000          8.3580822558993866E+000          6.6680399325619562E-003          6.6680399325619562E-003          3.1999977173151180E+001          3.1999977173151180E+001         -9.8999999999999986E+001         -6.7502676327793667E+000         -6.7502676327793667E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7502676327793667E+000         -6.7502676327793667E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321309101425252E+054          1.2965211786871075E+040          0.0000000000000000E+000         -2.6517330311144227E+037         -6.3920517483625311E+038          1.3630934292018472E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               6          1.7142367599218554E+002          1.5000000000000000E+000          2.2057611519061002E+001          3.7198494045143877E+002          3.7198494045143877E+002          8.3580815910373190E+000          8.3580815910373190E+000          6.5683325150542506E-003          6.5683325150542506E-003          3.1999969536625706E+001          3.1999969536625706E+001         -9.8999999999999986E+001         -6.7501354794871311E+000         -6.7501354794871311E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7501354794871311E+000         -6.7501354794871311E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321294655134733E+054          1.6983565443147643E+040          0.0000000000000000E+000         -2.6517309569455564E+037         -6.3939962611564178E+038          1.7649482378832740E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               7          2.2297176034068482E+002          1.5000000000000000E+000          2.2057609412518005E+001          3.7198490492618390E+002          3.7198490492618390E+002          8.3580807928249552E+000          8.3580807928249552E+000          6.4168003483588308E-003          6.4168003483588308E-003          3.1999960368456183E+001          3.1999960368456183E+001         -9.8999999999999986E+001         -6.7499298957203617E+000         -6.7499298957203617E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7499298957203617E+000         -6.7499298957203617E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321277311381047E+054          2.1546083862303861E+040          0.0000000000000000E+000         -2.6517284668015344E+037         -6.3970227122643909E+038          2.2212303418198314E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               8          2.8482946155888396E+002          1.5000000000000000E+000          2.2057606882864700E+001          3.7198486226549358E+002          3.7198486226549358E+002          8.3580798342874143E+000          8.3580798342874143E+000          6.1911931976395343E-003          6.1911931976395343E-003          3.1999949358813947E+001          3.1999949358813947E+001         -9.8999999999999986E+001         -6.7496205700294487E+000         -6.7496205700294487E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7496205700294487E+000         -6.7496205700294487E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321256484051971E+054          2.6671346150297492E+040          0.0000000000000000E+000         -2.6517254765622694E+037         -6.4015793837923748E+038          2.7338021343442350E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                               9          3.5905870302072293E+002          1.5000000000000000E+000          2.2057603844101532E+001          3.7198481101905026E+002          3.7198481101905026E+002          8.3580786828376983E+000          8.3580786828376983E+000          5.8610452969358618E-003          5.8610452969358618E-003          3.1999936133409996E+001          3.1999936133409996E+001         -9.8999999999999986E+001         -6.7491660770075486E+000         -6.7491660770075486E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7491660770075486E+000         -6.7491660770075486E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321231465094509E+054          3.2374478844480931E+040          0.0000000000000000E+000         -2.6517218846228283E+037         -6.4082807301295686E+038          3.3041824136340116E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
