                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                               1          1.7888543819998320E+003          3.0000000000000000E+000          1.7507143331459805E+001          1.1071677756798167E+002          1.8452795752041257E+002          7.4193700560731797E+000          5.8765691274803720E+000         -5.7144190684574847E-001         -1.0000000000000000E+000          4.9999998722877494E+000          3.0000000061713243E+000         -9.8999999999999986E+001         -1.0146342429435117E+001         -1.1462196631840440E+001         -9.8999999999999986E+001         -1.2679292996012137E+001         -1.0169192163314518E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8322099759500151E-002          1.3406846326181542E+053         -2.6283392842279296E+034          0.0000000000000000E+000         -4.5161676804491744E+033         -2.1767225161830123E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               2          3.9354796403996297E+003          3.0000000000000000E+000          1.7507143226267850E+001          1.1071677923348943E+002          1.8452795408092206E+002          7.4193699591486322E+000          5.8765691408216671E+000         -5.7145700274578715E-001         -1.0000000000000000E+000          4.9999997190056442E+000          3.0000000152491313E+000         -9.8999999999999986E+001         -1.0146264780421706E+001         -1.1373775301164768E+001         -9.8999999999999986E+001         -1.2590871663383817E+001         -1.0174439610773112E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9222874001671554E-002          1.3406846036299039E+053          1.0975590157557879E+036          0.0000000000000000E+000         -4.5161674825491720E+033         -2.1549849762421858E+034          1.1236250330007590E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               3          6.5114299504793871E+003          3.0000000000000000E+000          1.7507143099975018E+001          1.1071678123306997E+002          1.8452794995150839E+002          7.4193698427820083E+000          5.8765691568387677E+000         -5.7148425415322956E-001         -1.0000000000000000E+000          4.9999995349764639E+000          3.0000000261473430E+000         -9.8999999999999986E+001         -1.0146050789163640E+001         -1.1373582225660300E+001         -9.8999999999999986E+001         -1.2590678585007071E+001         -1.0174224217671592E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9220021878828071E-002          1.3406845688266573E+053          1.7426335162454719E+036          0.0000000000000000E+000         -4.5161672458912357E+033         -2.1560529438121701E+034          1.7687102129294850E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               4          9.6025703225750949E+003          3.0000000000000000E+000          1.7507142948274669E+001          1.1071678363487888E+002          1.8452794499138781E+002          7.4193697030058505E+000          5.8765691760772150E+000         -5.7152923169150061E-001         -1.0000000000000000E+000          4.9999993139257120E+000          3.0000000392368347E+000         -9.8999999999999986E+001         -1.0145626730346734E+001         -1.1373195941782599E+001         -9.8999999999999986E+001         -1.2590292297681101E+001         -1.0173797627228337E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9214871144629054E-002          1.3406845270215132E+053          2.4537363347968654E+036          0.0000000000000000E+000         -4.5161669616151993E+033         -2.1581697783342782E+034          2.4798341995418232E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               5          1.3311938769089946E+004          3.0000000000000000E+000          1.7507142765923650E+001          1.1071678652188085E+002          1.8452793902917369E+002          7.4193695349902145E+000          5.8765691992009437E+000         -5.7160081536020202E-001         -1.0000000000000000E+000          4.9999990482144741E+000          3.0000000549686319E+000         -9.8999999999999986E+001         -1.0144890050259184E+001         -1.1372521628065423E+001         -9.8999999999999986E+001         -1.2589617979822323E+001         -1.0173056767937515E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9206368270228335E-002          1.3406844767692919E+053          3.2312958496939770E+036          0.0000000000000000E+000         -4.5161666198882478E+033         -2.1618511525622388E+034          3.2574305278394877E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               6          1.7763180904907767E+004          3.0000000000000000E+000          1.7507142546502024E+001          1.1071678999561584E+002          1.8452793185505894E+002          7.4193693328221384E+000          5.8765692270219381E+000         -5.7171419287510816E-001         -1.0000000000000000E+000          4.9999987284909526E+000          3.0000000738939736E+000         -9.8999999999999986E+001         -1.0143706630576435E+001         -1.1371437498223365E+001         -9.8999999999999986E+001         -1.2588533845002619E+001         -1.0171866696105274E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9192833861715033E-002          1.3406844163003820E+053          4.0768759192357580E+036          0.0000000000000000E+000         -4.5161662086672135E+033         -2.1677778443335523E+034          4.1030698638877608E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               7          2.3104671467889151E+004          3.0000000000000000E+000          1.7507142282098776E+001          1.1071679418114741E+002          1.8452792321056648E+002          7.4193690892166657E+000          5.8765692605395392E+000         -5.7189731986115688E-001         -1.0000000000000000E+000          4.9999983432325035E+000          3.0000000966902536E+000         -9.8999999999999986E+001         -1.0141910292701880E+001         -1.1369798479643475E+001         -9.8999999999999986E+001         -1.2586894820434624E+001         -1.0170059821580095E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9171395669801778E-002          1.3406843434337037E+053          5.0006145011319224E+036          0.0000000000000000E+000         -4.5161657131051946E+033         -2.1768069479990090E+034          5.0268987363250174E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               8          2.9514460143466815E+004          3.0000000000000000E+000          1.7507141962902015E+001          1.1071679923343534E+002          1.8452791277526657E+002          7.4193687951418745E+000          5.8765693009899787E+000         -5.7220165588832361E-001         -1.0000000000000000E+000          4.9999978781522465E+000          3.0000001241935967E+000         -9.8999999999999986E+001         -1.0139315807733190E+001         -1.1367458229096664E+001         -9.8999999999999986E+001         -1.2584554562674917E+001         -1.0167448317549004E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9136767085101627E-002          1.3406842554634570E+053          6.0043186984903005E+036          0.0000000000000000E+000         -4.5161651147791234E+033         -2.1899217962892443E+034          6.0307340815679727E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               9          3.7206206554160010E+004          3.0000000000000000E+000          1.7507141576700562E+001          1.1071680534501171E+002          1.8452790015069465E+002          7.4193684393644466E+000          5.8765693499051119E+000         -5.7271641962424424E-001         -1.0000000000000000E+000          4.9999973154784163E+000          3.0000001574359261E+000         -9.8999999999999986E+001         -1.0135768240220356E+001         -1.1364333503447902E+001         -9.8999999999999986E+001         -1.2581429828323913E+001         -1.0163872467505021E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9079217812026449E-002          1.3406841490206498E+053          7.0970587026046067E+036          0.0000000000000000E+000         -4.5161643907501411E+033         -2.2080035292183739E+034          7.1236549022875401E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
