                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                               1          1.7888543819998320E+003          3.0000000000000000E+000          1.7507143331104345E+001          1.1071677757333508E+002          1.8452795750906455E+002          7.4193700557518216E+000          5.8765691275197218E+000         -5.7134893247288432E-001         -1.0000000000000000E+000          4.9999998717772751E+000          3.0000000061945888E+000         -9.8999999999999986E+001         -1.0144609988166696E+001         -1.1460562482257945E+001         -9.8999999999999986E+001         -1.2677658846429644E+001         -1.0167454412752067E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8311164499191789E-002          1.3406846325188884E+053         -2.6370620575263358E+034          0.0000000000000000E+000         -4.5161676797480805E+033         -2.1854452895515276E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               2          3.9354796403996297E+003          3.0000000000000000E+000          1.7507143225493984E+001          1.1071677924557602E+002          1.8452795405578479E+002          7.4193699584393142E+000          5.8765691409163479E+000         -5.7136395511584115E-001         -1.0000000000000000E+000          4.9999997178824520E+000          3.0000000153113895E+000         -9.8999999999999986E+001         -1.0144532222691751E+001         -1.1371913792252951E+001         -9.8999999999999986E+001         -1.2589010154464638E+001         -1.0172715697440051E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9240461131599441E-002          1.3406846034158251E+053          1.4533552787861704E+036          0.0000000000000000E+000         -4.5161674810618687E+033         -2.1635633204897337E+034          1.4795070794721296E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               3          6.5114299504793871E+003          3.0000000000000000E+000          1.7507143098698407E+001          1.1071678125324404E+002          1.8452794990980524E+002          7.4193698416065965E+000          5.8765691569998708E+000         -5.7139123819659032E-001         -1.0000000000000000E+000          4.9999995331172338E+000          3.0000000262564415E+000         -9.8999999999999986E+001         -1.0144317262595507E+001         -1.1371719640460114E+001         -9.8999999999999986E+001         -1.2588815999787185E+001         -1.0172499342260014E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9237622817943460E-002          1.3406845684746520E+053          2.3017363125919061E+036          0.0000000000000000E+000         -4.5161672434655407E+033         -2.1646403405298279E+034          2.3278988832406699E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               4          9.6025703225750949E+003          3.0000000000000000E+000          1.7507142946393870E+001          1.1071678366477005E+002          1.8452794492977836E+002          7.4193697012703437E+000          5.8765691763181005E+000         -5.7143628610621588E-001         -1.0000000000000000E+000          4.9999993111820622E+000          3.0000000394022086E+000         -9.8999999999999986E+001         -1.0143892594039869E+001         -1.1371332780253416E+001         -9.8999999999999986E+001         -1.2588429136117398E+001         -1.0172072139035516E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9232465996200898E-002          1.3406845265037698E+053          3.2379322949015999E+036          0.0000000000000000E+000         -4.5161669580620203E+033         -2.1667686613272494E+034          3.2641161484729344E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               5          1.3311938769089946E+004          3.0000000000000000E+000          1.7507142763316565E+001          1.1071678656345502E+002          1.8452793894363302E+002          7.4193695325813787E+000          5.8765691995377765E+000         -5.7150800148867131E-001         -1.0000000000000000E+000          4.9999990444075166E+000          3.0000000552016508E+000         -9.8999999999999986E+001         -1.0143155584340883E+001         -1.1370658217233743E+001         -9.8999999999999986E+001         -1.2587754568938317E+001         -1.0171330943425440E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9223949643707814E-002          1.3406844760522868E+053          4.2613442777516465E+036          0.0000000000000000E+000         -4.5161666149795433E+033         -2.1704663790166138E+034          4.2875651081567920E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               6          1.7763180904907767E+004          3.0000000000000000E+000          1.7507142543020993E+001          1.1071679005124847E+002          1.8452793174072136E+002          7.4193693296030743E+000          5.8765692274742305E+000         -5.7162158205726421E-001         -1.0000000000000000E+000          4.9999987234044481E+000          3.0000000742083679E+000         -9.8999999999999986E+001         -1.0141972035059881E+001         -1.1369574113062974E+001         -9.8999999999999986E+001         -1.2586670459768499E+001         -1.0170140729482588E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9210390047160812E-002          1.3406844153435841E+053          5.3777665248226893E+036          0.0000000000000000E+000         -4.5161662021270836E+033         -2.1764173914769880E+034          5.4040468649395866E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               7          2.3104671467889151E+004          3.0000000000000000E+000          1.7507142277563307E+001          1.1071679425373564E+002          1.8452792306149104E+002          7.4193690850201817E+000          5.8765692611310039E+000         -5.7180489240802224E-001         -1.0000000000000000E+000          4.9999983366025278E+000          3.0000000971027534E+000         -9.8999999999999986E+001         -1.0140173844044343E+001         -1.1367933479752129E+001         -9.8999999999999986E+001         -1.2585029820443800E+001         -1.0168331982512253E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9188913004510089E-002          1.3406843421876243E+053          6.5938675324112974E+036          0.0000000000000000E+000         -4.5161657045967158E+033         -2.1854918869964176E+034          6.6202386169858586E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               8          2.9514460143466815E+004          3.0000000000000000E+000          1.7507141957090433E+001          1.1071679932654268E+002          1.8452791258415132E+002          7.4193687897625118E+000          5.8765693017498526E+000         -5.7210938175138026E-001         -1.0000000000000000E+000          4.9999978696542264E+000          3.0000001247247292E+000         -9.8999999999999986E+001         -1.0137574912463416E+001         -1.1365588967298926E+001         -9.8999999999999986E+001         -1.2582685300746661E+001         -1.0165716014128554E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9154249009864372E-002          1.3406842538672286E+053          7.9104183907349143E+036          0.0000000000000000E+000         -4.5161651038879311E+033         -2.1986816472901645E+034          7.9369213723117044E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               9          3.7206206554160010E+004          3.0000000000000000E+000          1.7507141569339570E+001          1.1071680546302518E+002          1.8452789990854359E+002          7.4193684325490423E+000          5.8765693508693060E+000         -5.7262469525979209E-001         -1.0000000000000000E+000          4.9999973047124975E+000          3.0000001581109039E+000         -9.8999999999999986E+001         -1.0134021303003319E+001         -1.1362458296795056E+001         -9.8999999999999986E+001         -1.2579554621503013E+001         -1.0162134106724338E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9096669512329725E-002          1.3406841469992516E+053          9.3495895738666553E+036          0.0000000000000000E+000         -4.5161643769652380E+033         -2.2168666156794578E+034          9.3762744044004149E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
