                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211220" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                               1          1.7888543819998320E+003          3.0000000000000000E+000          1.7507143320105957E+001          1.1071677774023631E+002          1.8452795715668387E+002          7.4193700457803606E+000          5.8765691287635740E+000         -6.2896845365220488E-001         -1.0000000000000000E+000          4.9999998559468688E+000          3.0000000069476278E+000         -9.8999999999999986E+001         -1.0094052288624029E+001         -1.1410738418615358E+001         -9.8999999999999986E+001         -1.2627834782787057E+001         -1.0116857125332924E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8229623317029777E-002          1.3406846294529515E+053         -2.9070642831719903E+034          0.0000000000000000E+000         -4.5161676580716523E+033         -2.4554475173648249E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               2          3.2199378875996977E+003          3.0000000000000000E+000          1.7507143244112104E+001          1.1071677889712254E+002          1.8452795471821881E+002          7.4193699767995662E+000          5.8765691374347240E+000         -6.2802795510103648E-001         -1.0000000000000000E+000          4.9999997464664911E+000          3.0000000122504078E+000         -9.8999999999999986E+001         -1.0116328688784858E+001         -1.1431161380506408E+001         -9.8999999999999986E+001         -1.2648257742479830E+001         -1.0139233675330622E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8435892682931400E-002          1.3406846082865577E+053         -2.7838433330032521E+034          0.0000000000000000E+000         -4.5161675177011302E+033         -2.3322265812331389E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               3          4.3648046920795905E+003          3.0000000000000000E+000          1.7507143186367358E+001          1.1071677977675783E+002          1.8452795286476203E+002          7.4193699243711304E+000          5.8765691440353427E+000         -6.2740673181787210E-001         -1.0000000000000000E+000          4.9999996632614048E+000          3.0000000162950387E+000         -9.8999999999999986E+001         -1.0138605088945688E+001         -1.1451876100444085E+001         -9.8999999999999986E+001         -1.2668972460739671E+001         -1.0161594810745223E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8610376913064440E-002          1.3406845922057754E+053         -2.6668715183379199E+034          0.0000000000000000E+000         -4.5161674110623174E+033         -2.2152547772316882E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               4          5.2806981356635042E+003          3.0000000000000000E+000          1.7507143142486701E+001          1.1071678044548264E+002          1.8452795145602309E+002          7.4193698845240066E+000          5.8765691490571168E+000         -6.2698468749972502E-001         -1.0000000000000000E+000          4.9999996000255402E+000          3.0000000193762486E+000         -9.8999999999999986E+001         -1.0160881489106519E+001         -1.1473123674568393E+001         -9.8999999999999986E+001         -1.2690220033584232E+001         -1.0183927209801755E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8725669434745864E-002          1.3406845799872325E+053         -2.5558824865637026E+034          0.0000000000000000E+000         -4.5161673300401153E+033         -2.1042657535596909E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               5          6.1833359877561015E+003          3.0000000000000000E+000          1.7507143101406815E+001          1.1071678107170537E+002          1.8452795013701913E+002          7.4193698472161520E+000          5.8765691537621381E+000         -6.2662674005588048E-001         -1.0000000000000000E+000          4.9999995408209115E+000          3.0000000222656720E+000         -9.8999999999999986E+001         -1.0183157889267347E+001         -1.1494702336817836E+001         -9.8999999999999986E+001         -1.2711798694858759E+001         -1.0206241667448616E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8804015057997530E-002          1.3406845685494272E+053         -2.4505231101422629E+034          0.0000000000000000E+000         -4.5161672532423566E+033         -1.9989063848180271E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               6          7.1542623545004535E+003          3.0000000000000000E+000          1.7507143059431275E+001          1.1071678171173527E+002          1.8452794878910348E+002          7.4193698090914291E+000          5.8765691585729494E+000         -6.2629241961616178E-001         -1.0000000000000000E+000          4.9999994803213816E+000          3.0000000252223122E+000         -9.8999999999999986E+001         -1.0205434289428178E+001         -1.1516387738759819E+001         -9.8999999999999986E+001         -1.2733484095886508E+001         -1.0228550353552629E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8870473926937871E-002          1.3406845568630265E+053         -2.3504600622897647E+034          0.0000000000000000E+000         -4.5161671744231269E+033         -1.8988433448474522E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               7          8.2383504612179713E+003          3.0000000000000000E+000          1.7507143014909794E+001          1.1071678239073998E+002          1.8452794735927770E+002          7.4193697686508449E+000          5.8765691636787913E+000         -6.2596350464962425E-001         -1.0000000000000000E+000          4.9999994161481522E+000          3.0000000283624724E+000         -9.8999999999999986E+001         -1.0227710689589008E+001         -1.1538112789626513E+001         -9.8999999999999986E+001         -1.2755209145817703E+001         -1.0250856915462776E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8932555793511363E-002          1.3406845444685541E+053         -2.2554134189028878E+034          0.0000000000000000E+000         -4.5161670906784460E+033         -1.8037967098350433E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               8          9.4703071351942508E+003          3.0000000000000000E+000          1.7507142966848509E+001          1.1071678312389695E+002          1.8452794581560346E+002          7.4193697249911885E+000          5.8765691691940507E+000         -6.2562643895305614E-001         -1.0000000000000000E+000          4.9999993468680790E+000          3.0000000317567559E+000         -9.8999999999999986E+001         -1.0249987089749837E+001         -1.1559847356127248E+001         -9.8999999999999986E+001         -1.2776943711324867E+001         -1.0273162996191024E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8993643035070970E-002          1.3406845310893996E+053         -2.1651259218271371E+034          0.0000000000000000E+000         -4.5161670002060271E+033         -1.7135092218065342E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               9          1.0882702244807968E+004          3.0000000000000000E+000          1.7507142914506392E+001          1.1071678392253941E+002          1.8452794413425073E+002          7.4193696774386462E+000          5.8765691752043780E+000         -6.2526512090621256E-001         -1.0000000000000000E+000          4.9999992714122632E+000          3.0000000354583358E+000         -9.8999999999999986E+001         -1.0272263489910667E+001         -1.1581569113211797E+001         -9.8999999999999986E+001         -1.2798665467335443E+001         -1.0295469819076608E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.9056253419352769E-002          1.3406845165194517E+053         -2.0793553698468414E+034          0.0000000000000000E+000         -4.5161669016407921E+033         -1.6277386796827623E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
