                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                               1          1.7888543819998320E+003          3.0000000000000000E+000          1.7507143331459869E+001          1.1071677756797806E+002          1.8452795752041726E+002          7.4193700560732943E+000          5.8765691274803089E+000         -5.7144304526252676E-001         -1.0000000000000000E+000          4.9999998722879910E+000          3.0000000061712946E+000         -9.8999999999999986E+001         -1.0146343252109370E+001         -1.1462198689042493E+001         -9.8999999999999986E+001         -1.2679295053214190E+001         -1.0169192919297036E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8321962399037896E-002          1.3406846326181908E+053         -2.6283354396846532E+034          0.0000000000000000E+000         -4.5161676804494695E+033         -2.1767186716397064E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               2          3.9354796403996297E+003          3.0000000000000000E+000          1.7507143226268223E+001          1.1071677923348255E+002          1.8452795408093519E+002          7.4193699591489981E+000          5.8765691408215996E+000         -5.7145804672427425E-001         -1.0000000000000000E+000          4.9999997190061771E+000          3.0000000152490509E+000         -9.8999999999999986E+001         -1.0146265602851489E+001         -1.1373777702745013E+001         -9.8999999999999986E+001         -1.2590874064964073E+001         -1.0174440327359626E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9222658660093887E-002          1.3406846036299875E+053          1.0965143638967733E+036          0.0000000000000000E+000         -4.5161674825498476E+033         -2.1549813324274004E+034          1.1225803447035971E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               3          6.5114299504793871E+003          3.0000000000000000E+000          1.7507143099975451E+001          1.1071678123306012E+002          1.8452794995152556E+002          7.4193698427824737E+000          5.8765691568386496E+000         -5.7148532378714023E-001         -1.0000000000000000E+000          4.9999995349771638E+000          3.0000000261472173E+000         -9.8999999999999986E+001         -1.0146051182100132E+001         -1.1373584066812040E+001         -9.8999999999999986E+001         -1.2590680426158835E+001         -1.0174224513545779E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9219824401772321E-002          1.3406845688267571E+053          1.7414518540940828E+036          0.0000000000000000E+000         -4.5161672458918986E+033         -2.1560513941252983E+034          1.7675285352812275E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               4          9.6025703225750949E+003          3.0000000000000000E+000          1.7507142948275355E+001          1.1071678363486382E+002          1.8452794499141436E+002          7.4193697030065744E+000          5.8765691760770409E+000         -5.7153032269999282E-001         -1.0000000000000000E+000          4.9999993139267902E+000          3.0000000392366415E+000         -9.8999999999999986E+001         -1.0145627476238571E+001         -1.1373198171598748E+001         -9.8999999999999986E+001         -1.2590294527497290E+001         -1.0173798273673810E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9214668815931668E-002          1.3406845270216680E+053          2.4526430427631067E+036          0.0000000000000000E+000         -4.5161669616162703E+033         -2.1581664830226692E+034          2.4787408745549497E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               5          1.3311938769089946E+004          3.0000000000000000E+000          1.7507142765924769E+001          1.1071678652185339E+002          1.8452793902922008E+002          7.4193695349914641E+000          5.8765691992005982E+000         -5.7160185560989318E-001         -1.0000000000000000E+000          4.9999990482164680E+000          3.0000000549683299E+000         -9.8999999999999986E+001         -1.0144891547305701E+001         -1.1372524638891074E+001         -9.8999999999999986E+001         -1.2589620990648035E+001         -1.0173058163552472E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9206161900559003E-002          1.3406844767695926E+053          3.2279957578209152E+036          0.0000000000000000E+000         -4.5161666198903646E+033         -2.1618441207306681E+034          3.2541303656481122E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               6          1.7763180904907767E+004          3.0000000000000000E+000          1.7507142546504635E+001          1.1071678999556428E+002          1.8452793185515449E+002          7.4193693328247718E+000          5.8765692270213936E+000         -5.7171516421150170E-001         -1.0000000000000000E+000          4.9999987284950524E+000          3.0000000738934838E+000         -9.8999999999999986E+001         -1.0143709491774560E+001         -1.1371441803078218E+001         -9.8999999999999986E+001         -1.2588538149857568E+001         -1.0171869460594010E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9192637096629426E-002          1.3406844163010598E+053          4.0739484435998539E+036          0.0000000000000000E+000         -4.5161662086720771E+033         -2.1677639644866469E+034          4.1001422494533922E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               7          2.3104671467889151E+004          3.0000000000000000E+000          1.7507142282104002E+001          1.1071679418105296E+002          1.8452792321074898E+002          7.4193690892217425E+000          5.8765692605386333E+000         -5.7189821869741797E-001         -1.0000000000000000E+000          4.9999983432404047E+000          3.0000000966894680E+000         -9.8999999999999986E+001         -1.0141914578292678E+001         -1.1369804113705653E+001         -9.8999999999999986E+001         -1.2586900454496957E+001         -1.0170064016872791E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9171211944672820E-002          1.3406843434350750E+053          4.9979475981438231E+036          0.0000000000000000E+000         -4.5161657131147535E+033         -2.1767858441929060E+034          5.0242316222988670E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               8          2.9514460143466815E+004          3.0000000000000000E+000          1.7507141962911533E+001          1.1071679923326876E+002          1.8452791277559365E+002          7.4193687951510014E+000          5.8765693009884394E+000         -5.7220237614248504E-001         -1.0000000000000000E+000          4.9999978781665586E+000          3.0000001241923528E+000         -9.8999999999999986E+001         -1.0139321794595308E+001         -1.1367465464457718E+001         -9.8999999999999986E+001         -1.2584561798036219E+001         -1.0167454220859694E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9136597080444192E-002          1.3406842554660081E+053          6.0020790042977009E+036          0.0000000000000000E+000         -4.5161651147967816E+033         -2.1898919584931612E+034          6.0284940889974294E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               9          3.7206206554160010E+004          3.0000000000000000E+000          1.7507141576716176E+001          1.1071680534474568E+002          1.8452790015122403E+002          7.4193684393792525E+000          5.8765693499027387E+000         -5.7271669565625916E-001         -1.0000000000000000E+000          4.9999973155016901E+000          3.0000001574340764E+000         -9.8999999999999986E+001         -1.0135775158591876E+001         -1.1364341423167613E+001         -9.8999999999999986E+001         -1.2581437748044017E+001         -1.0163879318934367E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9079081593856247E-002          1.3406841490248666E+053          7.0903149657272275E+036          0.0000000000000000E+000         -4.5161643907792454E+033         -2.2079686389441811E+034          7.1169108165074483E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
