                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                               1          1.7888543819998320E+003          3.0000000000000000E+000          1.7507143331408368E+001          1.1071677756870653E+002          1.8452795751882027E+002          7.4193700560277955E+000          5.8765691274850269E+000         -5.7135283787654756E-001         -1.0000000000000000E+000          4.9999998722152554E+000          3.0000000061733552E+000         -9.8999999999999986E+001         -1.0146095977632346E+001         -1.1462053706530870E+001         -9.8999999999999986E+001         -1.2679150070702567E+001         -1.0168940119491467E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.8310582179770738E-002          1.3406846326035587E+053         -2.6295982610646720E+034          0.0000000000000000E+000         -4.5161676803469760E+033         -2.1779814930299741E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               2          3.9354796403996297E+003          3.0000000000000000E+000          1.7507143226158632E+001          1.1071677923523190E+002          1.8452795407733765E+002          7.4193699590476987E+000          5.8765691408357945E+000         -5.7136791360012751E-001         -1.0000000000000000E+000          4.9999997188461132E+000          3.0000000152589004E+000         -9.8999999999999986E+001         -1.0146018248445984E+001         -1.1373405233976117E+001         -9.8999999999999986E+001         -1.2590501596194525E+001         -1.0174201360073194E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9239722364449708E-002          1.3406846035998608E+053          1.4533262789299197E+036          0.0000000000000000E+000         -4.5161674823391524E+033         -2.1561744053076830E+034          1.4794041904653356E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               3          6.5114299504793871E+003          3.0000000000000000E+000          1.7507143099796199E+001          1.1071678123603529E+002          1.8452794994552738E+002          7.4193698426142332E+000          5.8765691568642433E+000         -5.7139517460954570E-001         -1.0000000000000000E+000          4.9999995347122725E+000          3.0000000261664139E+000         -9.8999999999999986E+001         -1.0145803871724624E+001         -1.1373211739498453E+001         -9.8999999999999986E+001         -1.2590308098842133E+001         -1.0173985583329426E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9236874000885245E-002          1.3406845687780329E+053          2.3021759924091393E+036          0.0000000000000000E+000         -4.5161672455544373E+033         -2.1572448695249543E+034          2.3282646083499433E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               4          9.6025703225750949E+003          3.0000000000000000E+000          1.7507142948012195E+001          1.1071678363931586E+002          1.8452794498252436E+002          7.4193697027576881E+000          5.8765691761163756E+000         -5.7144027477025816E-001         -1.0000000000000000E+000          4.9999993135355947E+000          3.0000000392670891E+000         -9.8999999999999986E+001         -1.0145379393970879E+001         -1.1372825040027161E+001         -9.8999999999999986E+001         -1.2589921395919628E+001         -1.0173558572956509E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9231721344979678E-002          1.3406845269505329E+053          3.2369640777224111E+036          0.0000000000000000E+000         -4.5161669611259461E+033         -2.1593649614296758E+034          3.2630738942978339E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               5          1.3311938769089946E+004          3.0000000000000000E+000          1.7507142765560666E+001          1.1071678652808239E+002          1.8452793901685069E+002          7.4193695346455515E+000          5.8765691992564637E+000         -5.7151190805146312E-001         -1.0000000000000000E+000          4.9999990476732936E+000          3.0000000550123040E+000         -9.8999999999999986E+001         -1.0144643214200462E+001         -1.1372151380265896E+001         -9.8999999999999986E+001         -1.2589247732013224E+001         -1.0172818202416096E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9223195099820991E-002          1.3406844766714871E+053          4.2612828620125096E+036          0.0000000000000000E+000         -4.5161666192160548E+033         -2.1630459304660189E+034          4.2874294879363857E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               6          1.7763180904907767E+004          3.0000000000000000E+000          1.7507142546018184E+001          1.1071679000394379E+002          1.8452793183857139E+002          7.4193693323613381E+000          5.8765692270972325E+000         -5.7162538659771012E-001         -1.0000000000000000E+000          4.9999987277678146E+000          3.0000000739537960E+000         -9.8999999999999986E+001         -1.0143459539864949E+001         -1.1371067038452372E+001         -9.8999999999999986E+001         -1.2588163385217808E+001         -1.0171627871053760E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9209651025775592E-002          1.3406844161702712E+053          5.3781801528302546E+036          0.0000000000000000E+000         -4.5161662077747376E+033         -2.1689771897790553E+034          5.4043860909358202E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               7          2.3104671467889151E+004          3.0000000000000000E+000          1.7507142281467715E+001          1.1071679419206001E+002          1.8452792318901155E+002          7.4193690886145207E+000          5.8765692606387994E+000         -5.7180873164265089E-001         -1.0000000000000000E+000          4.9999983422879630E+000          3.0000000967696518E+000         -9.8999999999999986E+001         -1.0141660783020082E+001         -1.1369425699714972E+001         -9.8999999999999986E+001         -1.2586522040487193E+001         -1.0169818567745338E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9188193276310017E-002          1.3406843432642499E+053          6.5942587758657831E+036          0.0000000000000000E+000         -4.5161657119441485E+033         -2.1780234611187995E+034          6.6205551761889158E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               8          2.9514460143466815E+004          3.0000000000000000E+000          1.7507141962091204E+001          1.1071679924749709E+002          1.8452791274753108E+002          7.4193687943672950E+000          5.8765693011183640E+000         -5.7211326603332879E-001         -1.0000000000000000E+000          4.9999978769376323E+000          3.0000001242967635E+000         -9.8999999999999986E+001         -1.0139063684681670E+001         -1.1367083071761382E+001         -9.8999999999999986E+001         -1.2584179405314513E+001         -1.0167204429393847E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9153522721647242E-002          1.3406842552459647E+053          7.9106780130458112E+036          0.0000000000000000E+000         -4.5161651132902556E+033         -2.1911589118177372E+034          7.9371057672772784E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                               9          3.7206206554160010E+004          3.0000000000000000E+000          1.7507141575671564E+001          1.1071680536289675E+002          1.8452790011545636E+002          7.4193684383805456E+000          5.8765693500688680E+000         -5.7262865547667363E-001         -1.0000000000000000E+000          4.9999973139358262E+000          3.0000001575678814E+000         -9.8999999999999986E+001         -1.0135515168968679E+001         -1.1363957562682579E+001         -9.8999999999999986E+001         -1.2581053887525947E+001         -1.0163627611581528E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.9095934721894283E-002          1.3406841487447957E+053          9.3495444227862941E+036          0.0000000000000000E+000         -4.5161643888631325E+033         -2.2092557654691380E+034          9.3761531448298481E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
